,RT,SERIALNO
620,H,2012000131742
621,H,2012000132597
622,H,2012000132695
623,H,2012000132738
624,H,2012000132756
625,H,2012000132967
626,H,2012000133041
627,H,2012000133147
628,H,2012000133254
629,H,2012000133991
630,H,2012000134025
631,H,2012000134029
632,H,2012000134035
633,H,2012000134138
634,H,2012000134194
635,H,2012000134401
636,H,2012000134580
637,H,2012000134608
638,H,2012000134711
639,H,2012000134759
640,H,2012000135517
641,H,2012000135583
642,H,2012000135666
643,H,2012000135715
644,H,2012000137039
645,H,2012000137127
646,H,2012000137155
647,H,2012000137727
648,H,2012000138198
649,H,2012000138297
650,H,2012000138482
651,H,2012000138826
652,H,2012000139005
653,H,2012000139100
654,H,2012000139268
655,H,2012000139417
656,H,2012000139549
657,H,2012000139841
658,H,2012000140121
659,H,2012000140140
660,H,2012000140276
661,H,2012000140284
662,H,2012000140877
663,H,2012000141193
664,H,2012000141778
665,H,2012000141989
666,H,2012000142047
667,H,2012000142477
668,H,2012000142496
669,H,2012000142632
670,H,2012000142667
671,H,2012000142724
672,H,2012000143270
673,H,2012000143452
674,H,2012000143470
675,H,2012000143596
676,H,2012000143623
677,H,2012000143676
678,H,2012000143883
679,H,2012000143908
680,H,2012000144223
681,H,2012000144405
682,H,2012000144487
683,H,2012000144872
684,H,2012000145242
685,H,2012000145289
686,H,2012000145609
687,H,2012000145768
688,H,2012000145900
689,H,2012000146003
690,H,2012000146132
691,H,2012000146266
692,H,2012000146397
693,H,2012000146541
694,H,2012000146608
695,H,2012000146754
696,H,2012000146850
697,H,2012000146965
698,H,2012000147116
699,H,2012000147280
700,H,2012000147980
701,H,2012000148596
702,H,2012000149201
703,H,2012000149239
704,H,2012000149466
705,H,2012000149506
706,H,2012000149853
707,H,2012000149893
708,H,2012000149992
709,H,2012000150034
710,H,2012000150388
711,H,2012000150782
712,H,2012000150857
713,H,2012000151016
714,H,2012000151204
715,H,2012000151246
716,H,2012000151786
717,H,2012000152158
718,H,2012000152211
719,H,2012000152252
720,H,2012000152488
721,H,2012000153036
722,H,2012000153146
723,H,2012000153512
724,H,2012000154207
725,H,2012000154660
726,H,2012000154777
727,H,2012000155031
728,H,2012000155115
729,H,2012000155446
730,H,2012000155531
731,H,2012000155844
732,H,2012000155898
733,H,2012000156074
734,H,2012000156146
735,H,2012000156178
736,H,2012000156640
737,H,2012000156802
738,H,2012000156830
739,H,2012000157028
740,H,2012000157167
741,H,2012000157362
742,H,2012000157702
743,H,2012000158002
744,H,2012000158902
745,H,2012000159015
746,H,2012000159223
747,H,2012000159305
748,H,2012000159976
749,H,2012000160006
750,H,2012000160132
751,H,2012000160286
752,H,2012000160604
753,H,2012000160687
754,H,2012000160758
755,H,2012000160860
756,H,2012000161010
757,H,2012000161275
758,H,2012000161654
759,H,2012000161926
760,H,2012000162024
761,H,2012000162178
762,H,2012000162194
763,H,2012000162513
764,H,2012000162703
765,H,2012000162734
766,H,2012000163562
767,H,2012000163703
768,H,2012000164021
769,H,2012000164034
770,H,2012000164069
771,H,2012000164256
772,H,2012000164694
773,H,2012000164811
774,H,2012000164813
775,H,2012000165403
776,H,2012000165626
777,H,2012000165922
778,H,2012000166207
779,H,2012000166689
780,H,2012000167441
781,H,2012000167569
782,H,2012000167858
783,H,2012000168000
784,H,2012000168550
785,H,2012000169085
786,H,2012000169255
787,H,2012000169609
788,H,2012000169645
789,H,2012000169867
790,H,2012000169925
791,H,2012000170146
792,H,2012000170233
793,H,2012000170291
794,H,2012000170624
795,H,2012000170671
796,H,2012000170839
797,H,2012000170844
798,H,2012000170872
799,H,2012000171067
800,H,2012000171236
801,H,2012000171443
802,H,2012000171569
803,H,2012000171628
804,H,2012000171677
805,H,2012000171699
806,H,2012000171754
807,H,2012000171759
808,H,2012000171812
809,H,2012000171854
810,H,2012000171909
811,H,2012000172021
812,H,2012000172463
813,H,2012000172618
814,H,2012000173282
815,H,2012000173393
816,H,2012000173405
817,H,2012000173626
818,H,2012000173860
819,H,2012000173885
820,H,2012000173894
821,H,2012000173936
822,H,2012000174105
823,H,2012000174310
824,H,2012000174358
825,H,2012000174373
826,H,2012000174932
827,H,2012000175124
828,H,2012000175217
829,H,2012000175328
830,H,2012000175584
831,H,2012000176221
832,H,2012000176731
833,H,2012000176761
834,H,2012000176906
835,H,2012000176921
836,H,2012000176969
837,H,2012000177849
838,H,2012000178712
839,H,2012000178747
840,H,2012000178826
841,H,2012000179026
842,H,2012000179073
843,H,2012000179318
844,H,2012000179736
845,H,2012000179825
846,H,2012000179928
847,H,2012000180417
848,H,2012000180734
849,H,2012000180904
850,H,2012000180945
851,H,2012000181008
852,H,2012000181194
853,H,2012000181277
854,H,2012000181411
855,H,2012000181502
856,H,2012000181512
857,H,2012000181843
858,H,2012000181893
859,H,2012000181956
860,H,2012000182336
861,H,2012000182494
862,H,2012000182525
863,H,2012000182538
864,H,2012000182542
865,H,2012000182620
866,H,2012000182638
867,H,2012000182808
868,H,2012000183005
869,H,2012000183233
870,H,2012000183246
871,H,2012000183889
872,H,2012000183895
873,H,2012000184018
874,H,2012000184233
875,H,2012000184291
876,H,2012000184497
877,H,2012000184734
878,H,2012000185238
879,H,2012000185354
880,H,2012000185614
881,H,2012000185651
882,H,2012000185853
883,H,2012000186198
884,H,2012000186434
885,H,2012000186534
886,H,2012000186606
887,H,2012000186801
888,H,2012000187015
889,H,2012000187018
890,H,2012000187461
891,H,2012000187616
