,SEMP,SEX,SSIP,WKHP,WKL
363,,2,,,
364,,2,,,
365,,1,,,
366,,2,,,
367,,2,,,
368,,2,,,
369,0.0,2,0.0,,2.0
370,0.0,1,0.0,,3.0
371,0.0,1,0.0,40.0,1.0
372,0.0,2,0.0,40.0,1.0
373,0.0,2,0.0,40.0,1.0
374,0.0,2,0.0,,3.0
375,0.0,1,0.0,,3.0
376,0.0,2,0.0,,3.0
377,0.0,2,0.0,40.0,1.0
378,0.0,2,0.0,,2.0
379,0.0,1,0.0,50.0,1.0
380,,2,,,
381,,1,,,
382,0.0,2,0.0,,3.0
383,0.0,1,0.0,32.0,1.0
384,0.0,1,0.0,45.0,1.0
385,77000.0,2,0.0,50.0,1.0
386,0.0,2,0.0,,2.0
387,0.0,1,0.0,45.0,1.0
388,0.0,2,0.0,34.0,1.0
389,0.0,1,0.0,,3.0
390,0.0,1,0.0,,3.0
391,0.0,2,0.0,10.0,1.0
392,0.0,1,0.0,72.0,1.0
393,0.0,1,0.0,,3.0
394,0.0,2,0.0,50.0,1.0
395,2000.0,1,0.0,10.0,1.0
396,,1,,,
397,,2,,,
398,0.0,1,0.0,20.0,1.0
399,0.0,2,0.0,20.0,1.0
400,0.0,2,0.0,,3.0
401,0.0,1,0.0,40.0,1.0
402,500.0,2,0.0,6.0,1.0
403,0.0,2,0.0,50.0,1.0
404,0.0,1,0.0,40.0,1.0
405,750.0,2,0.0,18.0,1.0
406,770.0,2,0.0,9.0,1.0
407,0.0,1,0.0,,
408,0.0,2,0.0,40.0,1.0
409,0.0,1,0.0,,3.0
410,0.0,2,0.0,,2.0
411,0.0,1,0.0,,2.0
412,0.0,2,0.0,,3.0
413,0.0,1,0.0,48.0,1.0
414,0.0,1,0.0,,3.0
415,5100.0,1,0.0,2.0,1.0
416,500.0,2,0.0,30.0,1.0
417,0.0,2,0.0,45.0,1.0
418,0.0,1,0.0,,3.0
419,0.0,2,0.0,30.0,1.0
420,,2,,,
421,0.0,2,0.0,,3.0
422,0.0,2,0.0,20.0,1.0
423,0.0,1,11700.0,,3.0
424,0.0,2,0.0,,3.0
425,0.0,1,0.0,55.0,1.0
426,0.0,2,0.0,,3.0
427,0.0,1,0.0,40.0,1.0
428,0.0,2,0.0,40.0,1.0
429,0.0,1,0.0,48.0,1.0
430,0.0,1,0.0,40.0,1.0
431,12000.0,1,0.0,20.0,1.0
432,0.0,2,0.0,,3.0
433,0.0,2,0.0,,3.0
434,0.0,1,0.0,,3.0
435,0.0,2,0.0,40.0,1.0
436,0.0,2,0.0,40.0,1.0
437,0.0,1,0.0,10.0,1.0
438,0.0,2,0.0,7.0,1.0
439,0.0,1,0.0,40.0,1.0
440,,2,,,
441,,2,,,
442,,2,,,
443,0.0,2,8400.0,,3.0
444,,1,,,
445,0.0,1,0.0,40.0,1.0
446,0.0,2,0.0,40.0,1.0
447,,1,,,
448,,2,,,
449,0.0,2,0.0,40.0,1.0
450,0.0,1,0.0,40.0,1.0
451,0.0,2,0.0,18.0,1.0
452,0.0,2,0.0,,
453,,2,,,
454,,1,,,
455,0.0,1,0.0,,3.0
456,0.0,2,0.0,,3.0
457,11000.0,2,0.0,13.0,1.0
458,0.0,1,0.0,55.0,1.0
459,0.0,2,0.0,,3.0
460,,2,,,
461,0.0,1,0.0,15.0,1.0
462,0.0,2,0.0,,2.0
463,1800.0,2,0.0,40.0,1.0
464,0.0,1,0.0,45.0,1.0
465,0.0,2,0.0,65.0,1.0
466,100.0,1,0.0,40.0,1.0
467,0.0,2,0.0,,2.0
468,,1,,,
469,,1,,,
470,0.0,2,0.0,40.0,1.0
471,4800.0,2,0.0,30.0,1.0
472,0.0,2,0.0,20.0,1.0
473,0.0,1,0.0,10.0,1.0
474,0.0,2,0.0,,
475,0.0,2,0.0,15.0,1.0
476,0.0,1,0.0,40.0,1.0
477,0.0,2,0.0,,
478,0.0,1,0.0,50.0,1.0
479,0.0,2,0.0,40.0,1.0
480,140000.0,2,0.0,37.0,1.0
481,68000.0,1,0.0,45.0,1.0
482,,1,,,
483,0.0,1,0.0,40.0,1.0
484,0.0,2,0.0,44.0,1.0
485,0.0,1,0.0,45.0,1.0
486,,2,,,
487,0.0,2,0.0,40.0,1.0
488,0.0,1,0.0,,2.0
489,0.0,1,0.0,40.0,1.0
490,0.0,2,0.0,18.0,1.0
491,,1,,,
492,,1,,,
493,0.0,2,0.0,,2.0
494,0.0,1,0.0,40.0,1.0
495,4200.0,2,0.0,40.0,1.0
496,0.0,1,0.0,18.0,1.0
497,0.0,2,0.0,40.0,1.0
498,0.0,1,0.0,,2.0
499,0.0,1,0.0,,3.0
500,0.0,2,0.0,40.0,1.0
501,60000.0,1,0.0,40.0,1.0
502,0.0,2,0.0,,3.0
503,0.0,1,0.0,,3.0
504,0.0,1,0.0,,3.0
505,0.0,2,0.0,,3.0
506,,1,,,
507,,2,,,
508,,1,,,
509,0.0,1,0.0,,3.0
510,0.0,2,0.0,8.0,1.0
511,0.0,2,0.0,30.0,1.0
512,0.0,1,0.0,28.0,1.0
513,0.0,2,0.0,,3.0
514,,1,,,
515,0.0,2,0.0,,3.0
516,0.0,2,0.0,,3.0
517,0.0,1,0.0,30.0,1.0
518,0.0,2,0.0,38.0,1.0
519,0.0,1,0.0,40.0,1.0
520,0.0,2,0.0,18.0,1.0
521,0.0,1,0.0,,3.0
522,0.0,2,0.0,20.0,1.0
523,0.0,2,0.0,40.0,1.0
524,,1,,,
525,,2,,,
526,0.0,1,0.0,40.0,1.0
527,0.0,2,0.0,,3.0
528,0.0,2,0.0,35.0,1.0
529,0.0,2,5200.0,,3.0
530,0.0,2,0.0,37.0,1.0
531,0.0,2,0.0,40.0,1.0
532,0.0,1,0.0,40.0,1.0
533,0.0,1,0.0,40.0,1.0
534,0.0,1,0.0,,3.0
535,0.0,2,0.0,,2.0
536,2700.0,1,0.0,30.0,1.0
537,0.0,2,0.0,25.0,1.0
538,0.0,1,0.0,40.0,1.0
539,0.0,2,13900.0,,3.0
540,0.0,1,0.0,48.0,1.0
541,0.0,1,0.0,40.0,1.0
542,0.0,2,0.0,32.0,1.0
543,0.0,1,0.0,40.0,1.0
544,0.0,1,0.0,70.0,1.0
545,0.0,2,0.0,,3.0
546,0.0,1,0.0,,
547,,2,,,
548,0.0,1,0.0,,3.0
549,0.0,2,0.0,,3.0
550,0.0,1,0.0,37.0,1.0
551,0.0,1,9100.0,,3.0
552,0.0,1,0.0,40.0,1.0
553,0.0,2,0.0,,3.0
554,,1,,,
555,,1,,,
556,,1,,,
557,0.0,2,0.0,,3.0
558,0.0,1,0.0,,3.0
559,0.0,2,0.0,,3.0
560,0.0,1,0.0,40.0,1.0
561,0.0,1,0.0,40.0,1.0
562,,2,,,
563,,1,,,
564,0.0,1,0.0,36.0,1.0
565,3400.0,1,19200.0,10.0,1.0
566,0.0,2,4800.0,20.0,1.0
567,0.0,2,0.0,8.0,1.0
568,0.0,2,4800.0,16.0,1.0
569,0.0,2,0.0,,2.0
570,0.0,1,0.0,,3.0
