,RT,SERIALNO
459,P,2012000043106
460,P,2012000043106
461,P,2012000043412
462,P,2012000043412
463,P,2012000044381
464,P,2012000045407
465,P,2012000045407
466,P,2012000046252
467,P,2012000046252
468,P,2012000046252
469,P,2012000046252
470,P,2012000046387
471,P,2012000046683
472,P,2012000046683
473,P,2012000046683
474,P,2012000046683
475,P,2012000046747
476,P,2012000046747
477,P,2012000046747
478,P,2012000046843
479,P,2012000046843
480,P,2012000047714
481,P,2012000047714
482,P,2012000047714
483,P,2012000047836
484,P,2012000048141
485,P,2012000048141
486,P,2012000048141
487,P,2012000048169
488,P,2012000048169
489,P,2012000048737
490,P,2012000048737
491,P,2012000048737
492,P,2012000048737
493,P,2012000048796
494,P,2012000048796
495,P,2012000049013
496,P,2012000049013
497,P,2012000049365
498,P,2012000049504
499,P,2012000049670
500,P,2012000049670
501,P,2012000050133
502,P,2012000050133
503,P,2012000050133
504,P,2012000050159
505,P,2012000050159
506,P,2012000050159
507,P,2012000050159
508,P,2012000050159
509,P,2012000050218
510,P,2012000050218
511,P,2012000050218
512,P,2012000050218
513,P,2012000050218
514,P,2012000050218
515,P,2012000050218
516,P,2012000050501
517,P,2012000050501
518,P,2012000050526
519,P,2012000050803
520,P,2012000051285
521,P,2012000051285
522,P,2012000051711
523,P,2012000051711
524,P,2012000051711
525,P,2012000051711
526,P,2012000051711
527,P,2012000051711
528,P,2012000051735
529,P,2012000052239
530,P,2012000052714
531,P,2012000052953
532,P,2012000052953
533,P,2012000052984
534,P,2012000052985
535,P,2012000052985
536,P,2012000053143
537,P,2012000053143
538,P,2012000053336
539,P,2012000053336
540,P,2012000053336
541,P,2012000053511
542,P,2012000053511
543,P,2012000054592
544,P,2012000054782
545,P,2012000054782
546,P,2012000054782
547,P,2012000054782
548,P,2012000054827
549,P,2012000054827
550,P,2012000055132
551,P,2012000055132
552,P,2012000055139
553,P,2012000055139
554,P,2012000055139
555,P,2012000055139
556,P,2012000055139
557,P,2012000055143
558,P,2012000055143
559,P,2012000055607
560,P,2012000055607
561,P,2012000055607
562,P,2012000055607
563,P,2012000055607
564,P,2012000055811
565,P,2012000055822
566,P,2012000055822
567,P,2012000055822
568,P,2012000055822
569,P,2012000055868
570,P,2012000055868
571,P,2012000056082
572,P,2012000056082
573,P,2012000056200
574,P,2012000056200
575,P,2012000056265
576,P,2012000056265
577,P,2012000056265
578,P,2012000056279
579,P,2012000056643
580,P,2012000056677
581,P,2012000056677
582,P,2012000056680
583,P,2012000057244
584,P,2012000057244
585,P,2012000057378
586,P,2012000057912
587,P,2012000057912
588,P,2012000057912
589,P,2012000058589
590,P,2012000058795
591,P,2012000058795
592,P,2012000058858
593,P,2012000058868
594,P,2012000060046
595,P,2012000060163
596,P,2012000060849
597,P,2012000060849
598,P,2012000061406
599,P,2012000061406
600,P,2012000061721
601,P,2012000061834
602,P,2012000061834
603,P,2012000061971
604,P,2012000062125
605,P,2012000062289
606,P,2012000062342
607,P,2012000062342
608,P,2012000062342
609,P,2012000062701
610,P,2012000063060
611,P,2012000063060
612,P,2012000063060
613,P,2012000063060
614,P,2012000063060
615,P,2012000063120
616,P,2012000063272
617,P,2012000063343
618,P,2012000063343
619,P,2012000063494
620,P,2012000063494
621,P,2012000063494
622,P,2012000063936
623,P,2012000063956
624,P,2012000063956
625,P,2012000063956
626,P,2012000063956
627,P,2012000064069
628,P,2012000064299
629,P,2012000064299
630,P,2012000064432
631,P,2012000064432
632,P,2012000064563
633,P,2012000064563
634,P,2012000064563
635,P,2012000064563
636,P,2012000064563
637,P,2012000064563
638,P,2012000064563
639,P,2012000064609
640,P,2012000064609
641,P,2012000064609
642,P,2012000064833
643,P,2012000064833
644,P,2012000064833
645,P,2012000064833
646,P,2012000064833
647,P,2012000064833
648,P,2012000064833
649,P,2012000064833
650,P,2012000064892
651,P,2012000064892
652,P,2012000064892
653,P,2012000064927
654,P,2012000065351
655,P,2012000065441
656,P,2012000066263
657,P,2012000066263
658,P,2012000066263
659,P,2012000066263
660,P,2012000066263
661,P,2012000066471
662,P,2012000066471
663,P,2012000066471
664,P,2012000066471
665,P,2012000066471
666,P,2012000066471
667,P,2012000066471
668,P,2012000066471
669,P,2012000067628
670,P,2012000067628
671,P,2012000067981
672,P,2012000068126
673,P,2012000068126
674,P,2012000068126
675,P,2012000068126
676,P,2012000068126
677,P,2012000068422
678,P,2012000068422
679,P,2012000068422
680,P,2012000068422
681,P,2012000068677
682,P,2012000069015
683,P,2012000069015
684,P,2012000069015
685,P,2012000069015
686,P,2012000069142
687,P,2012000069246
688,P,2012000069246
689,P,2012000069246
690,P,2012000069246
691,P,2012000069246
692,P,2012000069246
693,P,2012000069284
694,P,2012000069284
695,P,2012000069720
696,P,2012000069898
697,P,2012000069970
698,P,2012000069970
699,P,2012000070379
700,P,2012000070379
701,P,2012000070666
702,P,2012000070666
703,P,2012000070666
704,P,2012000070666
705,P,2012000071197
706,P,2012000071197
707,P,2012000071583
708,P,2012000071689
709,P,2012000071898
710,P,2012000071898
711,P,2012000071945
712,P,2012000071945
713,P,2012000072116
714,P,2012000072248
715,P,2012000072248
716,P,2012000072552
717,P,2012000072575
718,P,2012000072575
719,P,2012000072682
720,P,2012000072682
721,P,2012000072869
722,P,2012000072869
723,P,2012000073054
724,P,2012000073233
725,P,2012000073233
726,P,2012000073233
727,P,2012000073233
728,P,2012000073854
729,P,2012000073854
730,P,2012000074105
731,P,2012000074105
732,P,2012000074314
733,P,2012000074314
734,P,2012000074339
735,P,2012000074339
736,P,2012000074339
737,P,2012000074339
738,P,2012000074517
739,P,2012000074699
740,P,2012000074779
741,P,2012000074779
742,P,2012000074779
743,P,2012000074779
744,P,2012000074779
745,P,2012000074779
746,P,2012000075034
747,P,2012000075034
748,P,2012000075034
749,P,2012000075034
750,P,2012000075622
751,P,2012000075622
752,P,2012000075622
753,P,2012000075622
754,P,2012000075791
755,P,2012000075791
756,P,2012000075862
757,P,2012000075862
758,P,2012000075984
759,P,2012000075984
760,P,2012000077160
761,P,2012000077214
762,P,2012000077243
763,P,2012000077511
764,P,2012000077511
765,P,2012000077940
766,P,2012000078131
767,P,2012000078131
768,P,2012000078131
769,P,2012000079068
770,P,2012000079068
771,P,2012000079154
772,P,2012000079154
773,P,2012000079377
774,P,2012000079377
775,P,2012000079377
776,P,2012000079592
777,P,2012000079592
778,P,2012000079632
779,P,2012000079632
780,P,2012000079758
781,P,2012000079758
782,P,2012000080002
783,P,2012000080002
784,P,2012000080002
785,P,2012000080156
786,P,2012000080156
787,P,2012000080934
788,P,2012000080934
789,P,2012000080977
790,P,2012000080977
791,P,2012000080977
792,P,2012000080977
793,P,2012000082432
794,P,2012000082432
795,P,2012000082577
796,P,2012000082577
797,P,2012000082795
798,P,2012000082795
799,P,2012000082795
800,P,2012000082809
