,ADJINC,PWGTP,AGEP,CIT,CITWP
332,1056030,24,28,1,
333,1056030,26,28,1,
334,1056030,17,8,1,
335,1056030,17,5,1,
336,1056030,3,63,1,
337,1056030,2,62,1,
338,1056030,11,48,1,
339,1056030,12,20,1,
340,1056030,18,54,1,
341,1056030,16,52,1,
342,1056030,22,31,1,
343,1056030,16,36,1,
344,1056030,14,40,1,
345,1056030,17,9,1,
346,1056030,16,7,1,
347,1056030,17,5,1,
348,1056030,18,23,1,
349,1056030,46,1,1,
350,1056030,41,23,1,
351,1056030,4,73,1,
352,1056030,14,37,1,
353,1056030,15,44,1,
354,1056030,11,11,1,
355,1056030,19,9,1,
356,1056030,10,6,1,
357,1056030,9,19,1,
358,1056030,26,50,1,
359,1056030,22,65,1,
360,1056030,27,56,1,
361,1056030,10,29,1,
362,1056030,18,26,1,
363,1056030,10,6,1,
364,1056030,9,5,1,
365,1056030,22,4,1,
366,1056030,13,3,1,
367,1056030,13,1,1,
368,1056030,13,0,1,
369,1056030,27,71,1,
370,1056030,16,80,1,
371,1056030,9,26,1,
372,1056030,15,47,1,
373,1056030,38,18,1,
374,1056030,38,83,4,1957.0
375,1056030,12,73,1,
376,1056030,13,72,1,
377,1056030,15,61,1,
378,1056030,21,45,1,
379,1056030,7,51,1,
380,1056030,4,14,1,
381,1056030,4,11,1,
382,1056030,17,86,1,
383,1056030,8,66,1,
384,1056030,25,58,1,
385,1056030,27,45,1,
386,1056030,22,17,1,
387,1056030,38,50,1,
388,1056030,30,47,1,
389,1056030,22,67,1,
390,1056030,6,53,1,
391,1056030,14,53,1,
392,1056030,13,33,1,
393,1056030,11,53,1,
394,1056030,11,29,1,
395,1056030,12,39,1,
396,1056030,11,4,1,
397,1056030,14,1,1,
398,1056030,10,17,1,
399,1056030,12,16,1,
400,1056030,16,60,1,
401,1056030,33,54,1,
402,1056030,26,53,1,
403,1056030,42,25,1,
404,1056030,24,23,1,
405,1056030,31,20,1,
406,1056030,21,17,1,
407,1056030,29,15,1,
408,1056030,43,51,1,
409,1056030,51,52,1,
410,1056030,62,24,1,
411,1056030,52,27,1,
412,1056030,27,44,1,
413,1056030,26,56,1,
414,1056030,25,17,1,
415,1056030,6,69,1,
416,1056030,4,56,1,
417,1056030,15,49,1,
418,1056030,19,59,1,
419,1056030,26,21,1,
420,1056030,11,0,1,
421,1056030,7,81,4,1960.0
422,1056030,32,67,1,
423,1056030,50,41,1,
424,1056030,3,56,1,
425,1056030,3,48,1,
426,1056030,45,69,1,
427,1056030,13,57,1,
428,1056030,15,58,4,1992.0
429,1056030,72,31,5,
430,1056030,14,32,1,
431,1056030,6,70,1,
432,1056030,6,66,1,
433,1056030,28,72,1,
434,1056030,8,64,1,
435,1056030,11,46,1,
436,1056030,16,61,1,
437,1056030,12,49,1,
438,1056030,35,45,1,
439,1056030,28,59,1,
440,1056030,16,11,1,
441,1056030,16,9,1,
442,1056030,17,9,1,
443,1056030,12,46,1,
444,1056030,13,6,1,
445,1056030,20,36,1,
446,1056030,21,36,1,
447,1056030,23,7,1,
448,1056030,23,4,1,
449,1056030,14,42,1,
450,1056030,21,47,5,
451,1056030,20,19,1,
452,1056030,51,15,1,
453,1056030,12,14,1,
454,1056030,8,2,1,
455,1056030,26,80,1,
456,1056030,21,79,1,
457,1056030,12,60,1,
458,1056030,46,28,5,
459,1056030,58,28,5,
460,1056030,125,2,1,
461,1056030,5,60,1,
462,1056030,3,60,1,
463,1056030,27,34,1,
464,1056030,25,35,1,
465,1056030,16,31,1,
466,1056030,11,37,1,
467,1056030,12,35,1,
468,1056030,13,1,1,
469,1056030,22,4,4,2009.0
470,1056030,15,62,1,
471,1056030,11,38,1,
472,1056030,32,18,3,
473,1056030,19,17,3,
474,1056030,7,15,3,
475,1056030,2,47,1,
476,1056030,1,47,1,
477,1056030,9,15,3,
478,1056030,13,54,1,
479,1056030,21,52,1,
480,1056030,13,41,1,
481,1056030,18,33,1,
