,AGEP
1690,51
1691,26
1692,51
1693,27
1694,27
1695,77
1696,73
1697,28
1698,26
1699,22
1700,66
1701,66
1702,77
1703,24
1704,24
1705,48
1706,49
1707,6
1708,28
1709,11
1710,9
1711,10
1712,34
1713,14
1714,10
1715,87
1716,32
1717,11
1718,31
1719,67
1720,64
1721,54
1722,40
1723,41
1724,65
1725,87
1726,47
1727,47
1728,14
1729,10
1730,47
1731,46
1732,21
1733,16
1734,1
1735,31
1736,60
1737,60
1738,54
1739,13
1740,71
1741,74
1742,47
1743,49
1744,39
1745,37
1746,45
1747,46
1748,71
1749,70
1750,65
1751,32
1752,28
1753,29
1754,32
1755,55
1756,48
1757,18
1758,15
1759,69
1760,64
1761,48
1762,49
1763,25
1764,63
1765,27
1766,27
1767,23
1768,63
1769,62
1770,58
1771,50
1772,49
1773,17
1774,83
1775,81
1776,58
1777,52
1778,43
1779,57
1780,55
1781,33
1782,34
1783,4
1784,0
1785,86
1786,36
1787,72
1788,48
1789,47
1790,14
1791,12
1792,71
1793,63
1794,88
1795,26
1796,29
1797,2
1798,1
1799,61
1800,58
1801,84
1802,59
1803,21
1804,42
1805,33
1806,4
1807,41
1808,41
1809,16
1810,70
1811,71
1812,42
1813,39
1814,29
1815,37
1816,40
1817,11
1818,7
1819,62
1820,68
1821,59
1822,57
1823,28
1824,3
1825,25
1826,73
1827,71
1828,67
1829,57
1830,26
1831,76
1832,76
1833,64
1834,41
1835,67
1836,68
1837,67
1838,44
1839,7
1840,47
1841,25
1842,76
1843,40
1844,38
1845,12
1846,9
1847,6
1848,51
1849,15
1850,56
1851,54
1852,23
1853,4
1854,24
1855,50
1856,50
1857,20
1858,18
1859,44
1860,40
1861,18
1862,15
1863,12
1864,44
1865,44
1866,15
1867,81
1868,34
1869,39
1870,13
1871,9
1872,31
1873,1
1874,28
1875,42
1876,55
1877,29
1878,47
1879,46
1880,25
1881,27
1882,28
1883,9
1884,8
1885,3
1886,1
1887,85
1888,84
1889,65
1890,63
1891,33
1892,57
1893,53
1894,57
1895,59
1896,35
1897,36
1898,13
1899,9
1900,62
1901,60
1902,46
1903,60
1904,66
1905,62
1906,64
1907,58
1908,93
1909,60
1910,35
1911,10
1912,54
1913,54
1914,62
1915,58
1916,93
1917,63
1918,80
1919,80
1920,26
1921,50
1922,64
1923,58
1924,55
1925,58
1926,62
1927,68
1928,78
1929,55
1930,54
1931,26
1932,20
1933,53
1934,71
1935,57
1936,50
1937,37
